epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.28,1.88577,2.35383,1.77986,0.42418,0.29094,0.26868,0.10532,2.10955,2.19763,2.01686,0.000554782,0.000554782,0.000554782
2,392.049,1.90345,2.09254,1.78352,0.39266,0.34247,0.28633,0.12207,2.04529,2.27943,1.94854,0.0010738,0.0010738,0.0010738
3,574.037,1.87564,2.03365,1.76551,0.3542,0.35489,0.30718,0.1359,1.99556,2.12419,1.94522,0.00155615,0.00155615,0.00155615
4,746.63,1.82843,1.92259,1.71827,0.48043,0.40171,0.36644,0.15967,1.97709,1.81246,1.86936,0.00150197,0.00150197,0.00150197
5,924.756,1.75461,1.78715,1.66624,0.42019,0.42218,0.3682,0.1811,1.7877,1.7848,1.76217,0.00144696,0.00144696,0.00144696
6,1108.36,1.71341,1.70256,1.64246,0.44353,0.42597,0.35908,0.17462,1.7684,1.74645,1.69625,0.00139195,0.00139195,0.00139195
7,1287.74,1.68158,1.63339,1.61264,0.51833,0.52001,0.47338,0.2306,1.7297,1.54031,1.69062,0.00133693,0.00133693,0.00133693
8,1460.2,1.64321,1.55639,1.58175,0.48721,0.47117,0.44349,0.22954,1.687,1.48271,1.65586,0.00128192,0.00128192,0.00128192
9,1635.96,1.62267,1.51724,1.57102,0.61855,0.55884,0.55477,0.27887,1.66854,1.35513,1.62768,0.00122691,0.00122691,0.00122691
10,1840.66,1.60172,1.45827,1.55007,0.55766,0.57214,0.50807,0.266,1.61204,1.36524,1.58143,0.0011719,0.0011719,0.0011719
11,2042.97,1.56374,1.40882,1.52349,0.49564,0.4846,0.36456,0.19182,1.60953,1.79866,1.57776,0.00111689,0.00111689,0.00111689
12,2245,1.5498,1.37524,1.51679,0.705,0.57118,0.64739,0.34421,1.58148,1.19448,1.55191,0.00106188,0.00106188,0.00106188
13,2434.36,1.53075,1.34007,1.49426,0.49457,0.51569,0.39369,0.20908,1.57667,1.61936,1.53968,0.00100687,0.00100687,0.00100687
14,2620.37,1.50289,1.29551,1.47899,0.7768,0.5668,0.68289,0.37259,1.52037,1.14916,1.50796,0.000951857,0.000951857,0.000951857
15,2810.09,1.48314,1.24898,1.45826,0.55562,0.57325,0.50192,0.27287,1.52479,1.27838,1.50815,0.000896846,0.000896846,0.000896846
16,2996.05,1.47287,1.22911,1.45471,0.52626,0.56815,0.46814,0.25492,1.5041,1.34209,1.47739,0.000841835,0.000841835,0.000841835
17,3174.83,1.44737,1.1882,1.43238,0.60712,0.59432,0.58469,0.33372,1.4646,1.15178,1.4682,0.000786824,0.000786824,0.000786824
18,3354.72,1.42094,1.15424,1.41329,0.57475,0.58782,0.53432,0.30239,1.45094,1.22285,1.44469,0.000731813,0.000731813,0.000731813
19,3535.34,1.40265,1.11288,1.39804,0.57602,0.60939,0.5193,0.29376,1.41581,1.23934,1.42451,0.000676802,0.000676802,0.000676802
20,3716.68,1.37922,1.10109,1.39251,0.58411,0.62487,0.54705,0.31564,1.40199,1.16616,1.40385,0.000621791,0.000621791,0.000621791
21,3919.76,1.39516,1.01577,1.41861,0.5305,0.61958,0.47271,0.27243,1.38823,1.30165,1.39912,0.00056678,0.00056678,0.00056678
22,4099.44,1.35079,0.965,1.38811,0.58699,0.64532,0.56608,0.33586,1.35088,1.11761,1.3671,0.000511769,0.000511769,0.000511769
23,4280.15,1.32303,0.92759,1.36257,0.60237,0.60251,0.57673,0.35018,1.32686,1.12247,1.35791,0.000456758,0.000456758,0.000456758
24,4461.99,1.29436,0.87964,1.34559,0.61738,0.62596,0.58771,0.3626,1.30387,1.05905,1.33737,0.000401747,0.000401747,0.000401747
25,4643.89,1.25856,0.84681,1.31999,0.62058,0.64684,0.5651,0.34803,1.27165,1.05807,1.31723,0.000346736,0.000346736,0.000346736
26,4822.14,1.23689,0.8085,1.30713,0.58271,0.64697,0.5408,0.33707,1.25547,1.12489,1.31134,0.000291725,0.000291725,0.000291725
27,4998.97,1.20262,0.77797,1.27998,0.5571,0.67318,0.53047,0.33056,1.25607,1.1523,1.31102,0.000236714,0.000236714,0.000236714
28,5171.19,1.17551,0.74888,1.26775,0.57558,0.66937,0.56782,0.35976,1.22975,1.04127,1.29336,0.000181703,0.000181703,0.000181703
29,5342.43,1.1504,0.72581,1.24659,0.58227,0.66677,0.5425,0.34442,1.21221,1.08188,1.27523,0.000126692,0.000126692,0.000126692
30,5513.03,1.12614,0.69572,1.22878,0.59083,0.68612,0.5739,0.36737,1.20382,1.02194,1.27213,7.1681e-05,7.1681e-05,7.1681e-05
