epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3473,2.20838,3.20713,2.11017,0.00568,0.82895,0.05117,0.01723,2.0158,3.51718,2.15294,0.0003,0.0003,0.0003
2,67.8553,2.00818,2.84785,2.0458,0.0055,0.80263,0.06568,0.02097,2.36537,3.50585,2.37534,0.00057908,0.00057908,0.00057908
3,101.224,1.97893,2.70824,1.98805,0.00559,0.81579,0.09611,0.02888,2.21668,3.40787,2.40757,0.00081592,0.00081592,0.00081592
4,136.756,2.05515,2.72979,2.01916,0.19126,0.10526,0.09245,0.02973,2.26592,3.16685,2.37758,0.00101052,0.00101052,0.00101052
5,172.831,1.99247,2.61779,2.0098,0.22764,0.17105,0.10976,0.03624,2.18816,3.0874,2.39298,0.00116288,0.00116288,0.00116288
6,206.614,2.2112,3.30878,2.25226,0.16107,0.18421,0.06834,0.01996,2.37431,3.26011,2.5547,0.001273,0.001273,0.001273
7,239.978,2.21124,3.26552,2.21727,0.10823,0.17105,0.05225,0.01628,2.48641,3.35509,2.52558,0.001208,0.001208,0.001208
8,272.398,2.0923,3.10492,2.09799,0.07471,0.22368,0.04799,0.01267,2.36866,3.31514,2.4815,0.001076,0.001076,0.001076
9,304.836,2.1248,3.07529,2.17177,0.09263,0.17105,0.05899,0.01906,2.31628,3.45366,2.44354,0.000944,0.000944,0.000944
10,338.042,2.07631,2.94506,2.06623,0.29468,0.17043,0.13344,0.05448,2.27505,3.11183,2.36891,0.000812,0.000812,0.000812
11,370.585,2.06844,2.90004,2.08788,0.32245,0.15789,0.15771,0.07449,2.07068,3.05981,2.20434,0.00068,0.00068,0.00068
12,403.136,1.97669,2.78272,2.01002,0.20756,0.17105,0.18757,0.08728,2.10347,2.8634,2.14861,0.000548,0.000548,0.000548
13,435.583,2.04007,2.86631,2.08316,0.18022,0.26614,0.16643,0.0695,2.11639,2.90214,2.13419,0.000416,0.000416,0.000416
14,467.931,1.89653,2.70085,1.97561,0.18405,0.32895,0.17454,0.07534,2.0811,2.78023,2.06013,0.000284,0.000284,0.000284
15,500.152,1.88869,2.68503,1.94022,0.20628,0.21889,0.18672,0.0827,2.07037,2.68476,2.04013,0.000152,0.000152,0.000152
