epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2111.15,1.85996,3.31959,1.79654,0.52872,0.3893,0.22296,0.11534,1.86172,3.94138,1.8792,0.000237776,0.000237776,0.000237776
2,4165.26,1.80938,2.41974,1.74525,0.63869,0.38808,0.38591,0.21182,1.94923,3.43312,1.88075,0.000444375,0.000444375,0.000444375
3,6291.27,1.78851,2.12555,1.71791,0.69445,0.38843,0.42158,0.25843,1.97958,3.35485,1.91263,0.000619558,0.000619558,0.000619558
4,8518.1,1.76103,1.97541,1.69481,0.67036,0.34855,0.43167,0.25202,1.85192,3.60627,1.83357,0.000572628,0.000572628,0.000572628
5,10753.7,1.68908,1.81926,1.63967,0.80135,0.42711,0.63036,0.37226,1.79444,3.05014,1.77546,0.000525504,0.000525504,0.000525504
6,12771.6,1.70615,1.67591,1.70105,0.73282,0.4224,0.58247,0.36614,1.75671,2.92314,1.70117,0.00047838,0.00047838,0.00047838
7,14939.8,1.6425,1.5366,1.65023,0.61285,0.59667,0.63212,0.38074,1.77881,2.76355,1.6671,0.000431256,0.000431256,0.000431256
8,17050,1.60474,1.45329,1.61366,0.48498,0.69708,0.62637,0.40987,1.75069,2.70974,1.67035,0.000384132,0.000384132,0.000384132
9,19056.3,1.56851,1.38163,1.57719,0.56031,0.65509,0.60772,0.42372,1.73798,2.72041,1.64213,0.000337008,0.000337008,0.000337008
10,21075.8,1.5259,1.30554,1.54315,0.65368,0.65123,0.68387,0.46895,1.70757,2.58489,1.61718,0.000289884,0.000289884,0.000289884
11,23091.5,1.48834,1.24237,1.50779,0.50205,0.72119,0.67221,0.49422,1.76072,2.58083,1.6386,0.00024276,0.00024276,0.00024276
12,25124.6,1.45946,1.20003,1.49086,0.6668,0.69929,0.70895,0.52087,1.70941,2.63269,1.61403,0.000195636,0.000195636,0.000195636
