epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.645,2.16274,3.3998,2.11858,0.00557,0.56989,0.04168,0.01271,2.03536,3.78605,2.12775,0.00015003,0.00015003,0.00015003
2,81.3525,2.03501,3.09214,1.98361,0.00662,0.67204,0.07728,0.02854,2.1082,3.72569,2.12649,0.000310459,0.000310459,0.000310459
3,118.305,1.95386,2.71148,1.94902,0.00674,0.69355,0.07109,0.02503,2.05921,3.70458,2.18115,0.000464286,0.000464286,0.000464286
4,154.634,1.91149,2.94464,1.9824,0.00671,0.69355,0.05647,0.01998,2.18524,3.55788,2.32087,0.000611512,0.000611512,0.000611512
5,190.794,1.90257,2.58724,1.88608,0.08854,0.05376,0.04276,0.0136,2.19541,3.54677,2.37457,0.000752137,0.000752137,0.000752137
6,226.733,1.92692,2.60467,1.9471,0.02342,0.04839,0.03378,0.00897,2.17664,3.63462,2.3484,0.000886161,0.000886161,0.000886161
7,262.965,1.90543,2.54336,1.95916,0.07254,0.12903,0.0475,0.01246,2.17427,3.52606,2.23592,0.00101358,0.00101358,0.00101358
8,298.954,1.86849,2.5307,1.90445,0.08079,0.10753,0.04511,0.01282,2.39574,3.77588,2.50592,0.0011344,0.0011344,0.0011344
9,336.033,1.88134,2.43867,1.90646,0.06035,0.14516,0.05078,0.01157,2.42532,3.83627,2.53678,0.00124862,0.00124862,0.00124862
10,374.026,1.90989,2.48146,2.01186,0.07528,0.15591,0.06039,0.01348,2.57995,4.58037,2.87432,0.00135624,0.00135624,0.00135624
11,412.336,1.99931,2.47666,1.97768,0.18821,0.14516,0.05355,0.01331,2.584,4.37871,2.77596,0.00133693,0.00133693,0.00133693
12,450.024,1.83849,2.37251,1.88254,0.09031,0.17742,0.05114,0.0132,2.42142,3.4469,2.39162,0.00130393,0.00130393,0.00130393
13,487.659,1.86902,2.42639,1.9179,0.21434,0.17204,0.09387,0.0243,2.60898,3.10189,2.54014,0.00127092,0.00127092,0.00127092
14,525.602,1.88104,2.35612,1.91221,0.08645,0.15591,0.0611,0.01761,2.56282,3.82442,2.5319,0.00123791,0.00123791,0.00123791
15,563.892,1.8558,2.30917,1.89618,0.08238,0.18817,0.05724,0.01807,2.51997,4.41725,2.59571,0.00120491,0.00120491,0.00120491
16,602.214,1.87281,2.2569,1.86931,0.15246,0.13978,0.09354,0.03093,2.48333,3.52096,2.53721,0.0011719,0.0011719,0.0011719
17,640.428,1.78413,2.23164,1.78894,0.15295,0.23656,0.10487,0.03045,2.4112,4.01913,2.37246,0.00113889,0.00113889,0.00113889
18,678.332,1.85385,2.29328,1.86467,0.11231,0.32796,0.08297,0.02562,2.36257,3.88119,2.41958,0.00110589,0.00110589,0.00110589
19,716.003,1.73017,2.06171,1.7424,0.20229,0.19079,0.11795,0.03565,2.2874,3.42504,2.38214,0.00107288,0.00107288,0.00107288
20,753.335,1.77961,2.12014,1.79768,0.15153,0.2043,0.11445,0.0405,2.2117,3.03889,2.37071,0.00103987,0.00103987,0.00103987
21,790.818,1.814,2.13941,1.80934,0.25361,0.26344,0.16322,0.06391,2.14016,2.81962,2.26786,0.00100687,0.00100687,0.00100687
22,828.378,1.67321,2.06328,1.70645,0.33855,0.22043,0.15527,0.05527,2.29427,2.83625,2.38107,0.000973861,0.000973861,0.000973861
23,865.846,1.6602,2.20631,1.75019,0.21747,0.29727,0.13605,0.04956,2.2048,2.78155,2.33946,0.000940855,0.000940855,0.000940855
24,903.667,1.78643,2.12642,1.78442,0.20437,0.26344,0.14537,0.04497,2.24708,2.81462,2.29185,0.000907848,0.000907848,0.000907848
25,940.962,1.69653,1.96961,1.73653,0.23614,0.25806,0.15294,0.05328,2.25194,2.73397,2.29982,0.000874842,0.000874842,0.000874842
26,978.674,1.58689,1.91255,1.65475,0.19907,0.16988,0.11431,0.04329,2.33822,2.98683,2.26455,0.000841835,0.000841835,0.000841835
27,1016.04,1.55355,1.97102,1.64874,0.37692,0.17742,0.16456,0.05379,2.3394,2.85522,2.24874,0.000808828,0.000808828,0.000808828
28,1053.59,1.64896,1.86574,1.70228,0.34099,0.24464,0.21352,0.07845,2.26792,2.77203,2.2532,0.000775822,0.000775822,0.000775822
29,1091.2,1.60132,1.83756,1.65014,0.41924,0.22043,0.21188,0.08251,2.21819,2.75055,2.24283,0.000742815,0.000742815,0.000742815
30,1128.28,1.61277,1.77703,1.63933,0.38715,0.27593,0.22222,0.0821,2.17424,2.84693,2.29131,0.000709809,0.000709809,0.000709809
31,1164.42,1.55524,1.73058,1.62406,0.44868,0.24194,0.22596,0.08819,2.22858,2.77868,2.39466,0.000676802,0.000676802,0.000676802
32,1200.45,1.58184,1.79099,1.64909,0.40401,0.27003,0.20669,0.06649,2.2671,2.61856,2.36682,0.000643795,0.000643795,0.000643795
33,1236.61,1.50893,1.66333,1.56931,0.34398,0.23118,0.19423,0.07226,2.23058,2.6429,2.32305,0.000610789,0.000610789,0.000610789
34,1272.74,1.45231,1.56397,1.52875,0.40395,0.23118,0.19461,0.07948,2.17679,2.69664,2.3174,0.000577782,0.000577782,0.000577782
35,1308.58,1.5664,1.72909,1.66007,0.33883,0.22581,0.19442,0.079,2.26646,2.64921,2.36297,0.000544776,0.000544776,0.000544776
36,1344.58,1.48558,1.60398,1.56897,0.26514,0.30645,0.17461,0.06675,2.22014,2.70643,2.28312,0.000511769,0.000511769,0.000511769
37,1380.63,1.48988,1.66732,1.60461,0.31793,0.24097,0.18456,0.06458,2.23497,2.69004,2.28515,0.000478762,0.000478762,0.000478762
38,1416.96,1.45338,1.5836,1.52702,0.29763,0.22842,0.18411,0.07419,2.27235,2.68241,2.30288,0.000445756,0.000445756,0.000445756
39,1452.89,1.43361,1.54848,1.51827,0.25796,0.25806,0.19083,0.07253,2.20382,2.74305,2.28044,0.000412749,0.000412749,0.000412749
40,1489.58,1.3894,1.47849,1.48239,0.26307,0.22581,0.18252,0.06836,2.15356,2.84275,2.26375,0.000379743,0.000379743,0.000379743
41,1525.26,1.67654,2.00922,1.74471,0.28207,0.27391,0.18343,0.06909,2.11491,2.91359,2.23532,0.000346736,0.000346736,0.000346736
42,1560.38,1.48344,1.74444,1.58738,0.28823,0.23015,0.16891,0.06157,2.11128,2.98997,2.27895,0.000313729,0.000313729,0.000313729
43,1595.93,1.46274,1.64373,1.5901,0.24988,0.23656,0.1558,0.05533,2.11404,3.00525,2.2802,0.000280723,0.000280723,0.000280723
44,1631.2,1.51628,1.73765,1.59636,0.25887,0.25269,0.1427,0.05082,2.1035,2.99951,2.25274,0.000247716,0.000247716,0.000247716
45,1666.6,1.50293,1.71366,1.63931,0.26402,0.25269,0.15478,0.05787,2.11878,2.94173,2.24205,0.00021471,0.00021471,0.00021471
46,1701.78,1.33122,1.50764,1.47285,0.26675,0.27957,0.18105,0.0648,2.15571,2.91944,2.26462,0.000181703,0.000181703,0.000181703
47,1736.8,1.38176,1.62695,1.57221,0.27287,0.30977,0.20341,0.07066,2.17428,2.859,2.29153,0.000148696,0.000148696,0.000148696
48,1771.71,1.23971,1.43111,1.41284,0.29806,0.34409,0.21389,0.07678,2.15993,2.78607,2.26467,0.00011569,0.00011569,0.00011569
49,1806.88,1.25789,1.40129,1.41558,0.27129,0.3172,0.20849,0.07876,2.14859,2.77443,2.24914,8.26832e-05,8.26832e-05,8.26832e-05
50,1841.81,1.36329,1.6056,1.55404,0.26771,0.32412,0.22052,0.07854,2.18209,2.79136,2.26576,4.96766e-05,4.96766e-05,4.96766e-05
